synthetic_sample_id,predicted_probability,binary_classification
0,0.026582839,0
1,0.008832123,0
2,0.00043148146,0
3,0.004170728,0
4,0.13025106,0
5,0.041680146,0
6,0.118664384,0
7,0.00036382294,0
8,0.004280972,0
9,0.5765971,1
10,0.0001762034,0
11,0.12614498,0
12,0.036536623,0
13,0.010071713,0
14,0.0149243185,0
15,0.19150773,0
16,0.06541007,0
17,0.0021522604,0
18,0.012680003,0
19,0.038145818,0
20,0.0018796246,0
21,0.096519336,0
22,0.08952979,0
23,0.22667001,0
24,0.15535086,0
25,0.0017834492,0
26,0.004834142,0
27,0.00016282362,0
28,0.00029435547,0
29,0.019427238,0
30,0.00024679955,0
31,0.023350904,0
32,0.04629419,0
33,0.02723581,0
34,0.061324358,0
35,0.023190329,0
36,0.012387885,0
37,0.17163338,0
38,0.008090318,0
39,0.0035742263,0
40,0.02927055,0
41,0.0041833087,0
42,0.0016033975,0
43,0.023687145,0
44,0.06042385,0
45,0.040785477,0
46,0.016760647,0
47,0.0043717916,0
48,0.04945234,0
49,0.053321037,0
50,0.03450704,0
51,0.002732549,0
52,0.035183538,0
53,0.010870689,0
54,0.0007661778,0
55,0.062082484,0
56,0.00038473844,0
57,0.09478864,0
58,0.0098327305,0
59,0.08035742,0
60,0.01059153,0
61,0.004336504,0
62,0.008215996,0
63,0.11477605,0
64,0.04659244,0
65,0.035475794,0
66,0.004142902,0
67,0.03738941,0
68,0.0139206005,0
69,0.010469182,0
70,0.034711614,0
71,0.032838926,0
72,5.9222197e-07,0
73,0.009579615,0
74,0.06739771,0
75,0.068931796,0
76,0.07157118,0
77,0.016387776,0
78,0.028706856,0
79,0.024112793,0
80,0.56334186,1
81,0.023317771,0
82,0.00035576575,0
83,0.00021452544,0
84,0.005775471,0
85,0.0025047655,0
86,0.022735357,0
87,0.0029273645,0
88,0.0015373568,0
89,0.5582995,1
90,0.041449606,0
91,0.007659812,0
92,0.0008031182,0
93,0.002276676,0
94,0.085562885,0
95,0.0007896933,0
96,0.07337523,0
97,0.012512562,0
98,0.11026352,0
99,0.0845803,0
100,0.030110335,0
101,0.06566556,0
102,0.023003647,0
103,0.00080251833,0
104,0.0017209905,0
105,0.022699356,0
106,0.004204849,0
107,0.0024067448,0
108,0.18024838,0
109,0.050109178,0
110,0.00088274677,0
111,0.005185018,0
112,0.005717847,0
113,0.05204668,0
114,0.01905595,0
115,0.1924487,0
116,0.041594528,0
117,0.02227561,0
118,0.24560824,0
119,6.542509e-06,0
120,0.011456791,0
121,0.14205849,0
122,0.0003064094,0
123,0.039220598,0
124,0.052432697,0
125,0.00056582154,0
126,0.037541255,0
127,0.07898063,0
128,3.3243286e-05,0
129,0.020981241,0
130,0.016622242,0
131,0.51101404,1
132,0.05124644,0
133,0.05456943,0
134,0.005885236,0
135,0.019104743,0
136,0.058628734,0
137,0.0008513774,0
138,0.0024770363,0
139,0.04153209,0
140,0.005793751,0
141,0.06911478,0
142,0.23329501,0
143,0.008826896,0
144,0.00043339198,0
145,0.051608887,0
146,0.53744185,1
147,0.00075220404,0
148,0.010042732,0
149,0.016434783,0
150,0.0005114408,0
151,0.00543887,0
152,0.56265473,1
153,0.18698512,0
154,0.57852435,1
155,0.000543982,0
156,0.054658104,0
157,0.032174252,0
158,0.022751369,0
159,0.023238493,0
160,0.007759364,0
161,0.120733224,0
162,0.0021144748,0
163,0.036312733,0
164,0.05082962,0
165,0.004461409,0
166,0.016842786,0
167,8.6045716e-08,0
168,0.0009315511,0
169,0.04511687,0
170,0.055328466,0
171,0.0012328668,0
172,0.030208321,0
173,0.05260509,0
174,0.09762612,0
175,0.0028662651,0
176,0.08065451,0
177,0.107277304,0
178,0.0013328396,0
179,0.020752996,0
180,0.03590558,0
181,0.015529889,0
182,0.032311954,0
183,0.082697235,0
184,0.05071174,0
185,0.011943956,0
186,0.034773666,0
187,0.009879081,0
188,0.034563337,0
189,0.09159551,0
190,0.05067258,0
191,0.010974397,0
192,0.003332303,0
193,0.0065695457,0
194,0.06292368,0
195,3.46505e-05,0
196,0.041062776,0
197,0.015854895,0
198,0.06764182,0
199,0.00022579732,0
