filename,station,date,kp,dst,label_event,label_mag,label_azm
event_ALR_20250824.npy,ALR,20250824,1.667,-15.0,1,4.9997067,67.07501
event_ALR_20250825.npy,ALR,20250825,3.0,-15.0,1,4.9997067,67.07501
event_ALR_20250826.npy,ALR,20250826,2.667,-15.0,1,4.9997067,67.07501
event_ALR_20250827.npy,ALR,20250827,2.667,-15.0,1,4.9997067,67.07501
event_ALR_20250828.npy,ALR,20250828,2.0,-15.0,1,4.9997067,67.07501
event_ALR_20250829.npy,ALR,20250829,2.0,-15.0,1,4.9997067,67.07501
event_ALR_20250830.npy,ALR,20250830,2.333,-15.0,1,4.9997067,67.07501
event_ALR_20250831.npy,ALR,20250831,2.333,-15.0,1,4.9997067,67.07501
event_ALR_20250901.npy,ALR,20250901,5.667,-15.0,1,4.943202,74.79292
event_ALR_20250902.npy,ALR,20250902,5.333,-15.0,1,4.943202,74.79292
event_ALR_20250903.npy,ALR,20250903,4.333,-15.0,1,4.943202,74.79292
event_ALR_20250904.npy,ALR,20250904,3.0,-15.0,1,4.943202,74.79292
event_ALR_20250905.npy,ALR,20250905,3.0,-15.0,1,4.9310455,281.35776
event_ALR_20250906.npy,ALR,20250906,5.0,-15.0,1,4.9310455,281.35776
event_ALR_20250907.npy,ALR,20250907,2.0,-15.0,1,4.9310455,281.35776
event_ALR_20250908.npy,ALR,20250908,3.667,-15.0,1,6.0972557,67.54429
event_ALR_20250909.npy,ALR,20250909,5.333,-15.0,1,6.0972557,67.54429
event_ALR_20250910.npy,ALR,20250910,4.0,-15.0,1,6.0972557,67.54429
event_ALR_20250911.npy,ALR,20250911,3.333,-15.0,1,6.0972557,67.54429
event_ALR_20250912.npy,ALR,20250912,2.667,-15.0,1,6.0972557,67.54429
event_ALR_20250913.npy,ALR,20250913,2.667,-15.0,1,6.0972557,67.54429
event_ALR_20250914.npy,ALR,20250914,4.667,-15.0,1,6.0972557,67.54429
event_ALR_20250915.npy,ALR,20250915,6.667,-15.0,1,6.0972557,67.54429
event_ALR_20250916.npy,ALR,20250916,4.333,-15.0,1,5.60056,270.84665
