true_magnitude,predicted_magnitude,predicted_log10_R,theoretical_log10_R
5.514479488518179,5.677612830654055,2.4413735171812436,2.371226180062817
3.9869476189796136,3.8912025189861605,1.673217083164049,1.7143874761612339
3.589627461671314,3.970667893654713,1.7073871942715266,1.5435398085186651
5.256382215623118,5.045263028645446,2.169463102317542,2.2602443527179408
6.86668734144078,6.684654898454266,2.874401606335334,2.9526755568195355
6.01945346491962,6.2333412927350285,2.6803367558760622,2.5883649899154366
5.537790321327523,6.188843135243321,2.6612025481546278,2.381249838170835
5.992410855816937,5.425329106702586,2.3328915158821117,2.5767366680012826
7.416779955280149,7.306049739699801,3.141601388070914,3.189215380770464
3.953019560007054,3.8503093003816327,1.6556329991641021,1.699798410803033
7.0176544015289295,6.764648384956861,2.9087988055314504,3.01759139265744
3.6679393070507986,3.6965957665834943,1.5895361796309024,1.5772139020318434
5.828430681213307,6.135923751498244,2.638447213144245,2.506225192921722
7.316617179185595,7.721224821060202,3.320126673055887,3.1461453870498057
5.522599030705793,5.432744992351747,2.336080346711251,2.374717583203491
5.988391940103352,6.398484470727085,2.7513483224126465,2.575008534244441
3.9308871532942407,4.218537826291194,1.8139712653052134,1.6902814759165234
7.281928054571296,7.185935368212709,3.089952208331465,3.131229063465657
3.580027856654454,3.4561508349938053,1.4861448590473363,1.539411978361415
6.2621239188082685,6.35925051264645,2.7344777204379733,2.6927132850875553
3.50744365736604,3.5790972158253873,1.5390118028049165,1.5082007726673972
5.0451251480378,5.285861161456212,2.272920299426171,2.169403813656254
7.281655290663992,7.646249931009599,3.2878874703341276,3.1311117749855164
7.325378990835057,6.74605966878334,2.900805657576836,3.1499129660590746
6.688119624700651,7.0860114974556465,3.046984943905928,2.87589143862128
5.767615657231448,5.066702907416415,2.1786822501890586,2.4800747326095225
4.202821565718594,4.289075308727287,1.8443023827527334,1.8072132732589954
5.669221487526119,4.968744977409153,2.1365603402859357,2.4377652396362315
7.115880208844009,6.4765959505529125,2.784936258737752,3.059828489802924
5.969693926838495,6.230627662283664,2.679169894781975,2.5669683885405528
3.7586242307152276,3.283641925739122,1.4119660280678226,1.6162084192075479
4.525872556907714,4.350573482459936,1.8707465974577724,1.946125199470317
5.732254115355369,5.83094804556012,2.5073076595908517,2.4648692696028087
7.054863186308896,7.131133379356472,3.066387353123283,3.0335911701128255
4.290732702594425,4.7395290299193515,2.0379974828653213,1.8450150621156025
5.857256073248699,4.919222268954116,2.11526557565027,2.5186201114969404
4.134262876129354,4.653126336697345,2.0008443247798584,1.777733036735622
4.280219827819838,3.2148554466349486,1.3823878420530278,1.8404945259625305
6.140695079112815,5.8146739371030085,2.5003097929542935,2.6404988840185104
6.601672872099751,5.716608623339359,2.458141708035924,2.838719335002893
5.899914059256048,5.767607275470075,2.480071128452132,2.5369630454801007
5.23718647566848,5.199427716712906,2.2357539181865493,2.2519901845374464
6.344795744966143,6.810123980383944,2.928353311565096,2.7282621703354417
4.452669037019838,4.589866157401751,1.973642447682753,1.9146476859185304
5.651539267829386,5.6707521425084755,2.438423421278644,2.430161885166636
3.7158438771756193,3.987430037345909,1.7145949160587408,1.5978128671855163
4.514275408526701,4.713487837628468,2.026799770180241,1.9411384256664814
6.144580682416613,6.106242120776843,2.625684111934042,2.642169693439144
3.875739296892082,3.7146575074391315,1.5973027281988266,1.6665678976635951
3.917951299698235,3.633730467162865,1.562504100880032,1.684719058870241
5.188889325737492,5.163654433783447,2.220371406526882,2.2312224100671214
3.53099127756666,3.5387602551829516,1.5216669097286692,1.5183262493536638
5.303051739904733,5.787626473294155,2.488679383516487,2.280312248159035
3.698480614082659,3.199706274512299,1.3758736980402886,1.5903466640555433
3.8570196343203325,3.6913721821852397,1.587290038339653,1.6585184427577429
3.924017035568641,3.779468759322655,1.6251715665087416,1.6873273252945156
5.974104182814431,6.415745635669185,2.7587706233377496,2.568864798610205
3.9245110475922873,4.396943668335238,1.8906857773841523,1.6875397504646834
3.846033411931835,4.5077366560464975,1.938326762099994,1.6537943671306892
5.491540543440126,5.559562560082993,2.3906119008356868,2.3613624336792545
3.5656972554500537,3.314457311629583,1.4252166440007206,1.5332498198435232
5.20687417926779,5.189178988550202,2.231346965076587,2.2389558970851495
3.798583715580074,3.652973491410502,1.5707786013065157,1.6333909976994319
5.570828631489277,5.3973385838969365,2.3208555910756825,2.3954563115403893
3.8393275130285174,3.9108806214221787,1.681678667211537,1.6509108306022624
3.880876050638472,4.415725914841544,1.8987621433818638,1.668776701774543
3.725627606315828,3.364448151828522,1.4467127052862645,1.602019870715806
6.780445624007914,6.760421433494015,2.9069812164024262,2.915591618323403
4.843798927877566,4.58742577001451,1.972593081106239,2.0828335389873534
4.326064004609966,4.091705417348079,1.759433329459674,1.8602075219822856
3.5101306146995594,4.510298359364639,1.9394282945267949,1.5093561643208104
4.593928568495819,4.875999123324097,2.096679623029362,1.9753892844532024
7.019524880252202,6.579866786565947,2.829342718223357,3.018395698508447
5.625699174061029,5.597829215356944,2.407066562603486,2.419050644846242
5.747870011475977,5.946516522571935,2.557002104705932,2.4715841049346703
3.578601849220619,3.6419783049485557,1.566050671127879,1.5387987951648663
3.95540998188308,3.632573665751466,1.5620066762731302,1.7008262922097244
7.206591390674912,7.30415215572323,3.140785426960989,3.098834297990212
4.491016311307127,5.114239821908743,2.1991231234207596,1.9311370138620645
7.090126010562551,7.270226766620716,3.126197509646908,3.048754184541897
4.9008810417744435,5.040049996492005,2.1672214984915623,2.1073788479630107
6.905557133860784,7.005343886902996,3.0122978713682884,2.969389567560137
5.633651897005107,5.771771090890988,2.481861569083125,2.422470315712196
4.349493488883743,4.416944953222154,1.899286329885526,1.8702822002200095
