idx,filename,station,date,label_event,label_mag,label_azm,kp,dst
0,event_ALR_20250824.npy,ALR,2025-08-24,1,4.999706745147705,67.07501220703125,1.6670000553131104,-15.0
1,event_ALR_20250825.npy,ALR,2025-08-25,1,4.999706745147705,67.07501220703125,3.0,-15.0
2,event_ALR_20250826.npy,ALR,2025-08-26,1,4.999706745147705,67.07501220703125,2.6670000553131104,-15.0
3,event_ALR_20250827.npy,ALR,2025-08-27,1,4.999706745147705,67.07501220703125,2.6670000553131104,-15.0
4,event_ALR_20250828.npy,ALR,2025-08-28,1,4.999706745147705,67.07501220703125,2.0,-15.0
5,event_ALR_20250829.npy,ALR,2025-08-29,1,4.999706745147705,67.07501220703125,2.0,-15.0
6,event_ALR_20250830.npy,ALR,2025-08-30,1,4.999706745147705,67.07501220703125,2.3329999446868896,-15.0
7,event_ALR_20250831.npy,ALR,2025-08-31,1,4.999706745147705,67.07501220703125,2.3329999446868896,-15.0
8,event_ALR_20250901.npy,ALR,2025-09-01,1,4.943202018737793,74.79292297363281,5.666999816894531,-15.0
9,event_ALR_20250902.npy,ALR,2025-09-02,1,4.943202018737793,74.79292297363281,5.333000183105469,-15.0
10,event_ALR_20250903.npy,ALR,2025-09-03,1,4.943202018737793,74.79292297363281,4.333000183105469,-15.0
11,event_ALR_20250904.npy,ALR,2025-09-04,1,4.943202018737793,74.79292297363281,3.0,-15.0
12,event_ALR_20250905.npy,ALR,2025-09-05,1,4.9310455322265625,281.3577575683594,3.0,-15.0
13,event_ALR_20250906.npy,ALR,2025-09-06,1,4.9310455322265625,281.3577575683594,5.0,-15.0
14,event_ALR_20250907.npy,ALR,2025-09-07,1,4.9310455322265625,281.3577575683594,2.0,-15.0
15,event_ALR_20250908.npy,ALR,2025-09-08,1,6.097255706787109,67.5442886352539,3.6670000553131104,-15.0
16,event_ALR_20250909.npy,ALR,2025-09-09,1,6.097255706787109,67.5442886352539,5.333000183105469,-15.0
17,event_ALR_20250910.npy,ALR,2025-09-10,1,6.097255706787109,67.5442886352539,4.0,-15.0
18,event_ALR_20250911.npy,ALR,2025-09-11,1,6.097255706787109,67.5442886352539,3.3329999446868896,-15.0
19,event_ALR_20250912.npy,ALR,2025-09-12,1,6.097255706787109,67.5442886352539,2.6670000553131104,-15.0
20,event_ALR_20250913.npy,ALR,2025-09-13,1,6.097255706787109,67.5442886352539,2.6670000553131104,-15.0
21,event_ALR_20250914.npy,ALR,2025-09-14,1,6.097255706787109,67.5442886352539,4.666999816894531,-15.0
22,event_ALR_20250915.npy,ALR,2025-09-15,1,6.097255706787109,67.5442886352539,6.666999816894531,-15.0
23,event_ALR_20250916.npy,ALR,2025-09-16,1,5.600560188293457,270.8466491699219,4.333000183105469,-15.0
24,event_ALR_20250917.npy,ALR,2025-09-17,1,5.600560188293457,270.8466491699219,3.0,-15.0
