sample_id,kp,dst,gate_value,condition
0,2.093571672192054,-10.059575092234564,0.94670033,quiet
1,1.989828584341736,0.9685256800649427,0.94709706,quiet
2,3.4467694166612985,-29.814078507961035,0.9467436,moderate
3,4.368264082066824,-37.15892987317022,0.94674397,moderate
4,2.961051996390457,-16.70188046172941,0.94671506,quiet
5,8.711569989658507,-132.38129443694515,0.9467773,storm
6,3.6369655474720637,-27.591989769686972,0.9467356,moderate
7,1.4391792184733063,-3.854020014575319,0.94668937,quiet
8,0.8545230247116967,-4.0585763185905055,0.94666815,quiet
9,1.093889039509199,12.13798808032778,0.94986093,quiet
10,3.0789198236980093,-41.10233576095746,0.94676805,moderate
11,4.931066016550634,-24.2092896118395,0.94671357,moderate
12,3.107260800346465,-49.20527136281028,0.9467766,moderate
13,4.152218363580943,-45.300550516352345,0.9467585,moderate
14,6.379356284986598,-128.34117297226285,0.94678843,storm
15,2.0930319966544206,9.491747641711477,0.949575,quiet
16,5.04761259317989,-37.1972802733091,0.946736,moderate
17,1.9515536516504337,6.013320531881977,0.949349,quiet
18,2.1604050199504146,7.543469098166881,0.9494312,quiet
19,3.450367782437472,-49.035947208236536,0.94677186,moderate
20,5.8679200118980015,-22.06312665858039,0.9467101,moderate
21,1.4938574400153282,8.206424522432378,0.9496647,quiet
22,4.483445939145968,-28.660232949127387,0.9467266,moderate
23,1.3212194593747744,1.5661449267733047,0.9482616,quiet
24,0.8858480673054223,4.0418015725640615,0.94960487,quiet
25,0.585239041590549,-15.784290489047855,0.9467871,quiet
26,0.3241929777748822,-4.861035671187013,0.94673806,quiet
27,1.7546143388112538,5.90588179489346,0.94941306,quiet
28,2.498180005120788,-18.076295279455277,0.946729,quiet
29,1.791279669570204,-18.468063301183193,0.94674903,quiet
30,6.8209169424409035,-152.87609775746694,0.9467923,storm
31,2.5318597242026675,16.532110512706346,0.9497171,quiet
32,1.4966421358183921,9.958303456141092,0.9497304,quiet
33,6.197132438652184,-78.11424902499215,0.94676775,storm
34,6.2716220805696565,-166.40174969094005,0.94679755,storm
35,5.681526265178723,-24.22214273254027,0.9467105,moderate
36,6.962462349456635,-63.94491007973315,0.9467505,storm
37,1.3494167021685501,-14.505749793627452,0.9467484,quiet
38,5.709384456670094,-43.36132065831476,0.94673836,moderate
39,2.661882642013019,9.211367348678905,0.9494209,quiet
40,0.08481779309519588,4.135632969093965,0.95002085,quiet
41,2.868067386513566,1.0657517834377401,0.9468286,quiet
42,2.581004420670031,15.440664984709542,0.94968706,quiet
43,8.702440321321477,-165.54827094170486,0.9467867,storm
44,1.4222980244982342,-16.940176529753927,0.94675565,quiet
45,1.1717571014404426,12.046451135061524,0.94984555,quiet
46,0.4568959440849135,13.442407369649146,0.949979,quiet
47,4.1695786962304835,-42.96299781304809,0.94675523,moderate
48,1.5902691349013964,-5.847694436196491,0.9466826,quiet
49,5.8363665728054475,-42.85874939519658,0.94673645,moderate
50,0.206748204959866,-19.01395112469494,0.94681054,quiet
51,2.004784133356288,16.809848435174516,0.94979274,quiet
52,0.7322301202374895,-15.191578567283583,0.94677836,quiet
53,0.23303500293927704,2.022658697069044,0.94986415,quiet
54,5.64411140616413,-20.772543537917915,0.9467099,moderate
55,3.8976394896486903,-33.03707899699046,0.9467431,moderate
56,1.541582999916129,11.85327895756928,0.9497727,quiet
57,5.717078600140442,-47.79972436575684,0.94674426,moderate
58,1.6389686872735596,-19.514079894241853,0.9467572,quiet
59,1.4583423488959761,-14.157331926697122,0.94674253,quiet
60,2.9994649410804777,-10.964994623074812,0.9467005,quiet
61,6.615930945113661,-109.10143124055416,0.94678044,storm
62,2.8860875258065155,-13.363024325252223,0.9467046,quiet
63,4.328056712668997,-40.88994767499576,0.94675034,moderate
64,8.79698520835773,-167.26568520367582,0.94678664,storm
65,2.3947269057329885,-9.685994732826394,0.94669664,quiet
66,1.7463569558967253,15.556388870021138,0.94980943,quiet
67,2.2789024309501924,-6.7237221672705605,0.9467014,quiet
68,5.87156109174771,-45.41202361141771,0.9467397,moderate
69,3.849889673867824,-43.45729453521677,0.9467602,moderate
70,0.9518559692577792,-6.242985415951292,0.9467017,quiet
71,1.9399395630659941,-2.053912117033004,0.9461822,quiet
72,2.46919752175554,-5.425521076123662,0.9467056,quiet
73,7.832415185371316,-152.73264161891086,0.9467875,storm
74,5.491437036820091,-49.09716611148205,0.9467481,moderate
75,1.971227888328527,-16.88782556687434,0.9467378,quiet
76,1.4608906266167,8.203472315753913,0.9496733,quiet
77,1.130477189827097,-9.086260726912464,0.94672376,quiet
78,3.7912789509686933,-36.70751637858283,0.9467511,moderate
79,5.456669047097866,-24.27945797116777,0.9467111,moderate
80,2.5740494146829667,-3.59277317065688,0.94642603,quiet
81,1.1635161412668147,-3.3148095803185917,0.9466707,quiet
82,2.7981490399997755,-15.300470138562265,0.94671255,quiet
83,6.028869326481592,-95.55716249710723,0.94677854,storm
84,5.970959547687944,-46.5552156984685,0.9467402,moderate
85,0.15305994721438565,15.55192007403511,0.9500228,quiet
86,1.3914512660821934,-5.226080170483183,0.9466776,quiet
87,2.827011939854482,-13.852575317892612,0.9467069,quiet
88,7.600520356958045,-160.08726552926203,0.94679034,storm
