sample_id,raw_snr_db,processed_snr_db,gain_db
0,-4.342325179086673,30.47414643369814,34.81647161278482
1,-4.410048907063474,29.391900231756235,33.80194913881971
2,-4.512669492062435,29.03218101991171,33.54485051197415
3,-4.5670719389832195,30.179117282959513,34.746189221942736
4,-4.387791124756804,30.10378938126308,34.491580506019886
5,-4.4338061059653615,28.999408140420904,33.433214246386264
6,-4.515582600616527,29.899762565910418,34.41534516652695
7,-4.35611359739338,30.41634314590202,34.7724567432954
8,-4.2504749994237185,30.046389558386352,34.29686455781007
9,-4.542015237406002,30.081408476480632,34.62342371388664
10,-4.363211307232067,29.7777499745057,34.140961281737766
11,-4.5272786606580535,28.626377935796697,33.15365659645475
12,-4.2678639004133165,29.980909674112425,34.24877357452574
13,-4.35431464526078,30.148928217417954,34.50324286267873
14,-4.400255566189728,30.617850450098874,35.0181060162886
15,-4.410411781462006,29.108548986676574,33.518960768138584
16,-4.495808160304828,29.246198604488956,33.742006764793786
17,-4.411502656925962,30.16043963277348,34.57194228969944
18,-4.417871381747683,29.472751349618875,33.890622731366555
19,-4.475754642964122,29.72680217723227,34.20255682019639
20,-4.369122761878109,29.340220119616994,33.709342881495104
21,-4.501307931954228,28.644905520718176,33.146213452672406
22,-4.266312324102332,30.312727008235534,34.579039332337864
23,-4.373845670205247,29.864940969548055,34.2387866397533
24,-4.419435303226559,30.495038575023166,34.91447387824972
25,-4.262295335439612,29.852742923916715,34.115038259356325
26,-4.356491318912129,30.654690507146572,35.0111818260587
27,-4.312275411629275,30.09940485758662,34.41168026921589
28,-4.420859164711648,29.421127042510008,33.84198620722166
29,-4.352759670019392,30.27331357796426,34.626073247983655
30,-4.576694347000035,30.50665763482307,35.08335198182311
31,-4.522216957640821,29.693929776815672,34.216146734456494
32,-4.557820050288925,29.906950754828525,34.46477080511745
33,-4.368509183819208,29.358719397512484,33.727228581331694
34,-4.4235844622296305,30.064734341226604,34.48831880345624
35,-4.278571179188165,30.347696561124625,34.62626774031279
36,-4.444158608089317,29.991284693887415,34.43544330197673
37,-4.538319096243961,29.50343431595514,34.0417534121991
38,-4.5130723184829815,30.438309880641782,34.951382199124765
39,-4.321690824698191,29.8432499549163,34.16494077961449
40,-4.293140372706816,29.74466147178036,34.03780184448718
41,-4.37849388457563,28.755221069645568,33.1337149542212
42,-4.416898896288744,29.855360234904534,34.27225913119328
43,-4.438111548550399,30.631837492162525,35.06994904071293
44,-4.487785426799643,30.191732857093214,34.67951828389286
45,-4.559075901127217,29.668033546743445,34.22710944787066
46,-4.3764971836029,29.50024598002518,33.87674316362808
47,-4.452291272252675,29.451658048455446,33.90394932070812
48,-4.486497186969977,30.116623369707433,34.60312055667741
49,-4.422123851593316,30.11648845811977,34.53861230971309
